sample_name	accession	food_group
sourdough	SRR10454490	sourdough
sourdough	SRR10454517	sourdough
sourdough	SRR10454514	sourdough
sourdough	SRR10454511	sourdough
sourdough	SRR10454513	sourdough
sourdough	SRR10454495	sourdough
sourdough	SRR29538184	sourdough
sourdough	SRR29538195	sourdough
sourdough	SRR10454512	sourdough
tea fermented	ERR2401479	tea
tea fermented	ERR2437614	tea
tea fermented	ERR2102261	tea
tea fermented	ERR2135519	tea
tea fermented	ERR2126384	tea
tea fermented	ERR2401482	tea
tea fermented	ERR2135449	tea
tea fermented	ERR2135518	tea
tea fermented	ERR2133080	tea
tea fermented	ERR2135457	tea
tempeh	SRR11036331	tempeh
tempeh	SRR11036332	tempeh
tempeh	ERR4757813	tempeh
tepache	ERR4757811	tepache
tibicos	ERR4757830	tibicos
tibicos	ERR4757843	tibicos
tibicos	ERR4757831	tibicos
tibicos	ERR4757829	tibicos
tibicos	ERR4757823	tibicos
tibicos	ERR4757856	tibicos
tibicos	ERR4757842	tibicos
tibicos	ERR4757854	tibicos
tibicos	ERR4757816	tibicos
tibicos fig	SRR26215953	tibicos
tibicos fig	SRR26215957	tibicos
tibicos fig	SRR26215954	tibicos
tibicos fig	SRR26216013	tibicos
tibicos fig	SRR26215964	tibicos
tibicos fig	SRR26215999	tibicos
tibicos fig	SRR26215780	tibicos
tibicos fig	SRR26216016	tibicos
tibicos fig	SRR26215962	tibicos
tibicos fig	SRR26216050	tibicos
tofu chili	ERR4757817	tofu chili
turnip fermented	ERR4757808	turnip fermented
ugba	SRR27593188	ugba
ugba	SRR27593239	ugba
ugba	SRR27593205	ugba
ugi	SRR27593165	ugi
ugi	SRR27593167	ugi
ugi	SRR27593168	ugi
vinegar apple cider	ERR4757839	vinegar apple cider
whey	SRR25395512	whey
whey	SRR25394844	whey
whey	SRR25394929	whey
whey	SRR25395490	whey
whey	SRR25395483	whey
whey	SRR25395398	whey
whey	SRR25395159	whey
whey	SRR25394817	whey
whey	SRR25395300	whey
whey	SRR25395105	whey
